甘肃移动,#genre#
FOX新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
BBC美洲,https://bcovlive-a.akamaihd.net/cde8d9416f6d4f1da0a4e8cfde6e8b2c/us-east-1/6240731308001/playlist.m3u8
CBS新闻,https://www.cbsnews.com/common/video/cbsn-ny-prod.m3u8
CBN新闻,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
NHK世界,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
GB新闻,https://live-gbnews.simplestreamcdn.com/live5/gbnews/bitrate1.isml/manifest.m3u8
CG新闻,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8
RT新闻,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT纪录,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
金砖中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
TalkTV,https://live-talktv-ssai.simplestreamcdn.com/v1/master/82267e84b9e5053b3fd0ade12cb1a146df74169a/talktv-live/index.m3u8
TRT世界,https://tv-trtworld.live.trt.com.tr/master_1080.m3u8
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
CGTN新闻,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001024/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN纪录,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000528/index.m3u8?IAS
电影频道,#genre#
经典神剧,http://epg.112114.xyz/douyu/3700024
贝爷厅科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
贝爷影厅经典科幻动作灾难,http://epg.112114.xyz/douyu/252802
女神金极致蓝光,http://epg.112114.xyz/douyu/747764
狄仁杰想听听我的故事吗,http://epg.112114.xyz/douyu/674441
牛叔带你看完大片,http://epg.112114.xyz/douyu/2758565
科幻影视解说连连看,http://epg.112114.xyz/douyu/3508304
最新奇幻电影解说宇宙无敌韩三金,http://epg.112114.xyz/douyu/3194372
电影星爷,https://live.metshop.top/huya/11342412
电影英叔,https://live.metshop.top/huya/11342421
电影发哥,https://live.metshop.top/huya/11342387
电影成龙,https://live.metshop.top/huya/11342386
电影王晶,https://live.metshop.top/huya/11602058
电影沈腾,https://live.metshop.top/huya/11601968
电影黄渤,https://live.metshop.top/huya/11352876
电影强森,https://live.metshop.top/huya/21059581
电影漫威,https://live.metshop.top/huya/11602034
电影宇宙,https://live.metshop.top/huya/11342428
电影怪兽,https://live.metshop.top/huya/21059577
电影武侠,https://live.metshop.top/huya/11342427
电影警匪,https://live.metshop.top/huya/11352886
电影罪犯,https://live.metshop.top/huya/11352962
电影枪战,https://live.metshop.top/huya/21059579
电影海盗,https://live.metshop.top/huya/21059595
电影赛车,https://live.metshop.top/huya/11279247
电影推荐,https://live.metshop.top/huya/11602041
电影救援,https://live.metshop.top/huya/21059594
电影热血,https://live.metshop.top/huya/11352934
电影盗墓,https://live.metshop.top/huya/21059552
电影贺岁,https://live.metshop.top/huya/11601971
电影玄幻,https://live.metshop.top/huya/11342414
电影谍战,https://live.metshop.top/huya/21059585
电影战争,https://live.metshop.top/huya/21059592
电影喜剧,https://live.metshop.top/huya/11352877
电影港片,https://live.metshop.top/huya/11602043
电影国产,https://live.metshop.top/huya/11352973
电影周星星,https://live.metshop.top/huya/11336587
电影李连杰,https://live.metshop.top/huya/11342390
电影洪金宝,https://live.metshop.top/huya/11279251
电影梁家辉,https://live.metshop.top/huya/11342429
电影刘德华,https://live.metshop.top/huya/11342424
电影斯坦森,https://live.metshop.top/huya/21059588
电影小鬼头,https://live.metshop.top/huya/11352963
电影八点档,https://live.metshop.top/huya/880261
电影蜘蛛侠,https://live.metshop.top/huya/21059599
